"description","seller","seller/address/0","seller/address/1","seller/address/2","seller/address/3","seller/address/4","seller/averageRating","seller/businessName","seller/id","seller/name","seller/phone","seller/reviewsCount","seller/url","galleryThumbnails/0","galleryThumbnails/1","galleryThumbnails/2","galleryThumbnails/3","galleryThumbnails/4","galleryThumbnails/5","galleryThumbnails/6","author","listPrice","listPrice/currency","listPrice/value","title","url","hasReviews","price","price/currency","price/value","shippingPrice","shippingPrice/currency","shippingPrice/value","delivery","stars","inStock","categoryPageData/isSponsored","categoryPageData/productPosition","categoryPageData/saleSummary"
"The stylish Logitech MK270 Wireless Keyboard and Mouse Combo is perfect for the home office or workplace. Ditch the touchpad for this full size keyboard and mouse. Easily connect using Logitech's plug and forget receiver—just plug it into the USB port, and you're ready to work. There's no lengthy installation procedure to slow you down. When you're on the move, the receiver stores comfortably inside the mouse. Both the keyboard and mouse included in the MK270 combo use wireless 2.4GHz connectivity to provide seamless, interruption free use. Use the keyboard within a 10 m range without keyboard lag. Work for longer with the MK270's long battery life. The keyboard can be used for up to 24 months, and the mouse for 12 months, without replacing batteries. The Logitech MK270 keyboard includes 8 hotkeys that are programmable to your most used applications to boost your productivity.",,"410 Terry Ave N","Seattle","WA","98109","US",,"Amazon.com, Inc.",,"Amazon.com","1-206-266-1000",,"https://www.amazon.com","https://m.media-amazon.com/images/I/31aMW2ZkjcL._AC_US.jpg","https://m.media-amazon.com/images/I/51TUaINqOVL._AC_US.jpg","https://m.media-amazon.com/images/I/31lGLSGzxeL._AC_US.jpg","https://m.media-amazon.com/images/I/410IEWyuktL._AC_US.jpg","https://m.media-amazon.com/images/I/51S45QTbWlL._AC_US.jpg","https://m.media-amazon.com/images/I/41byn9fQMcL._AC_US.jpg",,,,"$","27.99","Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black","https://www.amazon.com/dp/B079JLY5M5","true",,"$","22.99",,,,"Saturday, January 25","4.5","true","true","3",
,,,,,,,,,"ARYBV3B7HT636","KMT-US",,,"https://www.amazon.com/sp?seller=ARYBV3B7HT636","https://m.media-amazon.com/images/I/311V0YmC-uL._AC_US.jpg","https://m.media-amazon.com/images/I/41aff7pTlhL._AC_US.jpg","https://m.media-amazon.com/images/I/514VnYAaoCL._AC_US.jpg","https://m.media-amazon.com/images/I/51Di6xK-6ZL._AC_US.jpg","https://m.media-amazon.com/images/I/41Wg-iy0t0L._AC_US.jpg","https://m.media-amazon.com/images/I/41ctWViZruL._AC_US.jpg",,,,"$","39.99","Wireless Keyboard and Mouse Combo, EDJO 2.4G Full-Sized Ergonomic Computer Keyboard with Wrist Rest and 3 Level DPI Adjustable Wireless Mouse for Windows, Mac OS Desktop/Laptop/PC (Black)","https://www.amazon.com/dp/B08PBVDQKG","true",,"$","34.99",,"$","6.99","January 24 - 27","4.2","true","true",,"Join Prime to buy this item at $29.99"
,,,,,,,,,"AH5PA64M2DYZ1","WM LTK",,,"https://www.amazon.com/sp?seller=AH5PA64M2DYZ1","https://m.media-amazon.com/images/I/41zrCukIwaL._AC_US.jpg","https://m.media-amazon.com/images/I/517mmijIJ9L._AC_US.jpg","https://m.media-amazon.com/images/I/41qXNCqwNML._AC_US.jpg","https://m.media-amazon.com/images/I/51oI3EChRoL._AC_US.jpg","https://m.media-amazon.com/images/I/51UbLpu1uwL._AC_US.jpg","https://m.media-amazon.com/images/I/51++qFkwd-L._AC_US.jpg",,,,"$","20.99","Lovaky MK98 Wireless Keyboard, 2.4G Ergonomic, Computer Keyboard, Enlarged Indicator Light, Full Size PC Keyboard with Numeric Keypad for Laptop, Desktop, Surface, Chromebook, Notebook, Black","https://www.amazon.com/dp/B09KZGY5TK","true",,,,,,,"Saturday, January 25","4.2","false","true","2",
,,,,,,,,,"A2FK9EP27A6ZE6","Redragon Shop",,,"https://www.amazon.com/sp?seller=A2FK9EP27A6ZE6","https://m.media-amazon.com/images/I/41jJL+aqoBL._AC_US.jpg","https://m.media-amazon.com/images/I/51EItqW7RfL._AC_US.jpg","https://m.media-amazon.com/images/I/41ZiuF85oZL._AC_US.jpg","https://m.media-amazon.com/images/I/41HJtq7F2ML._AC_US.jpg","https://m.media-amazon.com/images/I/41b+Xb2dP8L._AC_US.jpg","https://m.media-amazon.com/images/I/41pyXyROxzL._AC_US.jpg","https://m.media-amazon.com/images/I/51EFKdDV0rL._AC_US.jpg",,,,,"Redragon K580 PRO Wireless RGB Gaming Keyboard, 3-Modes 104 Keys Mechanical Keyboard w/Hot-Swap Socket, Dedicated Media Controls & Onboard Macro Recording, Linear Red Switch","https://www.amazon.com/dp/B0CS68QV83","true",,"$","84.99",,,,"Saturday, January 25","4.6","true","true",,"Join Prime to buy this item at $69.99"
"Product DescriptionFeaturing a standard US QWERTY layout, the keyboard provides comfort and familiarity, while the sleek black design complements any tech setup or decor seamlessly. This wired keyboard and mouse set is great for those seeking a wired keyboard and mouse for home or office use. The mouse and keyboard combo offers a practical plug-and-play solution, compatible with multiple versions of Windows, including 2000, XP, Vista, 7, 8, and 10/11.From the ManufacturerAmazon Basics",,"410 Terry Ave N","Seattle","WA","98109","US",,"Amazon.com, Inc.",,"Amazon.com","1-206-266-1000",,"https://www.amazon.com","https://m.media-amazon.com/images/I/41nSmwAwZHL._AC_US.jpg","https://m.media-amazon.com/images/I/41UXckWEegL._AC_US.jpg","https://m.media-amazon.com/images/I/51dNSKkBiqL._AC_US.jpg","https://m.media-amazon.com/images/I/31ZuLiNNuYL._AC_US.jpg","https://m.media-amazon.com/images/I/512qpyiNqvL._AC_US.jpg",,,,,,,"Amazon Basics Wired Keyboard, Full-Sized, QWERTY Layout, Black","https://www.amazon.com/dp/B07WJ5D3H4","true",,"$","18.04",,,,"Saturday, January 25","4.5","true","true","1",
"An Amazon Brand",,"410 Terry Ave N","Seattle","WA","98109","US",,"Amazon.com, Inc.",,"Amazon.com","1-206-266-1000",,"https://www.amazon.com","https://m.media-amazon.com/images/I/4170l0jy6aL._AC_US.jpg","https://m.media-amazon.com/images/I/41ETAwGILgL._AC_US.jpg","https://m.media-amazon.com/images/I/51E6AHTiutL._AC_US.jpg","https://m.media-amazon.com/images/I/41vrBCtLiQL._AC_US.jpg","https://m.media-amazon.com/images/I/41DhiNlQYsL._AC_US.jpg","https://m.media-amazon.com/images/I/31sCDm5wX2L._AC_US.jpg",,,,"$","37.99","Amazon Basics Wireless Keyboard and Mouse Combo - Rechargeable, Ultra Slim Design, Quiet, Full Size, Number Pad, QWERTY, Black","https://www.amazon.com/dp/B0CJFB8J7B","true",,"$","29.99",,,,"Saturday, January 25","4.2","true","true","22",
,,,,,,,,,"A107J9JPMT65YO","YIS DIRECT",,,"https://www.amazon.com/sp?seller=A107J9JPMT65YO","https://m.media-amazon.com/images/I/5149fNpq1rL._AC_US.jpg","https://m.media-amazon.com/images/I/51wa9FbiTXL._AC_US.jpg","https://m.media-amazon.com/images/I/51tak+DoWCL._AC_US.jpg","https://m.media-amazon.com/images/I/61m86sFMtIL._AC_US.jpg","https://m.media-amazon.com/images/I/51mq7ifhCtL._AC_US.jpg","https://m.media-amazon.com/images/I/511GMgyOLsL._AC_US.jpg","https://m.media-amazon.com/images/I/61prkpsJesL._AC_US.jpg",,,"$","55.99","Typewriter Style Mechanical Gaming Keyboard RGB Backlit Wired with Blue Switch Retro Round Keycap 104 Keys Keyboard (White 104 Keys RGB)","https://www.amazon.com/dp/B08LNFPZLB","true",,"$","39.99",,,,"Saturday, January 25","4.5","true","true","20",
,,,,,,,,,"A3QNK8FA0OH8ZA","BFRIENDit",,,"https://www.amazon.com/sp?seller=A3QNK8FA0OH8ZA","https://m.media-amazon.com/images/I/41fgriTLXML._AC_US.jpg","https://m.media-amazon.com/images/I/41mDOikxCVL._AC_US.jpg","https://m.media-amazon.com/images/I/41H1ewIxANL._AC_US.jpg","https://m.media-amazon.com/images/I/313prw0qAsL._AC_US.jpg","https://m.media-amazon.com/images/I/51LBaL6W4aL._AC_US.jpg","https://m.media-amazon.com/images/I/51CWFzdLFBL._AC_US.jpg",,,,"$","29.99","BFRIENDit Wireless Keyboard Ultra - Quiet Chocolate Keys 2.4GHz Connection Slim Wireless Computer Keyboard for Mac, Windows 11/10/8/7/Vista, Microsoft & PC, Smart TV, RF1430K - Grey","https://www.amazon.com/dp/B0D927N7K9","true",,"$","27.5",,,,"Saturday, January 25","4.1","true","true","17",
,,,,,,,,,"ABUIM8SI6JINS","MOFii Direct",,,"https://www.amazon.com/sp?seller=ABUIM8SI6JINS","https://m.media-amazon.com/images/I/41SHPpDSfHL._AC_US.jpg","https://m.media-amazon.com/images/I/51BVwlObgJL._AC_US.jpg","https://m.media-amazon.com/images/I/41QxJ5N5tpL._AC_US.jpg","https://m.media-amazon.com/images/I/41+UoOQXEJL._AC_US.jpg","https://m.media-amazon.com/images/I/41CuBQB7JyL._AC_US.jpg","https://m.media-amazon.com/images/I/41XlPvg8StL._AC_US.jpg","https://m.media-amazon.com/images/I/41XsdWdF+2L._AC_US.jpg",,,,,"MOFII Wireless Keyboard and Mouse Combo,2.4GHz Retro Full-Size Keyboard with Number Pad and Cute Mouse for Computer PC Desktops Laptop WindowsxP/7/8/10(Milk Tea Colorful-B)","https://www.amazon.com/dp/B0B6G2XWTL","true",,"$","39.99",,,,"Saturday, January 25","4.3","true","true","18",
,,,,,,,,,"A9TV4QL8DFMM5","AULA MALL",,,"https://www.amazon.com/sp?seller=A9TV4QL8DFMM5","https://m.media-amazon.com/images/I/41wlrBhIO4L._AC_US.jpg","https://m.media-amazon.com/images/I/41A6BFqMZCL._AC_US.jpg","https://m.media-amazon.com/images/I/51COhk0Qs4L._AC_US.jpg","https://m.media-amazon.com/images/I/41SHMw5UxAL._AC_US.jpg","https://m.media-amazon.com/images/I/51zX3i1pC+L._AC_US.jpg","https://m.media-amazon.com/images/I/41f2JGtjufL._AC_US.jpg",,,,,,"AULA F99 Wireless Mechanical Keyboard,Tri-Mode BT5.0/2.4GHz/USB-C Hot Swappable Custom Keyboard,Pre-lubed Linear Switches,Gasket Structure,RGB Backlit Gaming Keyboard for PC/Tablet/PS/Xbox","https://www.amazon.com/dp/B0CLLHSWRL","true",,"$","82.89",,,,"Saturday, January 25","4.6","true","true","19",
"For workdays that go easy on you, feel the Wave. The Wave Keys Wireless Ergonomic Keyboard is shaped to feel instantly familiar and keep you typing all day in a natural position. A cushioned keyboard palm rest with memory foam gives your wrists more support throughout the day. Personalize your Wave Keys work keyboard with shortcuts to save time and keep your work flowing using the Logi Options+ App (2). The Wave Keys wireless keyboard is made with recycled plastic (Graphite: 61%, Off-white: 46%)(5). Connect using Bluetooth or the included Logi Bolt Receiver. Easy-Switch between your computer, tablet or phone in a tap. Plus, enjoy up to 3 years of battery life using the included batteries (3). Match your Wave Keys Ergonomic Keyboard with the Lift Vertical Ergonomic Mouse - a great fit for small to medium hands.",,"410 Terry Ave N","Seattle","WA","98109","US",,"Amazon.com, Inc.",,"Amazon.com","1-206-266-1000",,"https://www.amazon.com","https://m.media-amazon.com/images/I/4114VdW9JcL._AC_US.jpg","https://m.media-amazon.com/images/I/518nbhCqT9L._AC_US.jpg","https://m.media-amazon.com/images/I/51UanB0E1iL._AC_US.jpg","https://m.media-amazon.com/images/I/51+gH7NfujL._AC_US.jpg","https://m.media-amazon.com/images/I/51HKkCpm8RL._AC_US.jpg","https://m.media-amazon.com/images/I/519BOpD8RuL._AC_US.jpg",,,,,,"Logitech Wave Keys Wireless Ergonomic Keyboard with Cushioned Palm Rest, Comfortable Natural Typing, Easy-Switch, Bluetooth, Logi Bolt Receiver, for Multi-OS, Windows/Mac - Graphite","https://www.amazon.com/dp/B0BTNY72VD","true",,"$","59.99",,,,"Saturday, January 25","4.3","true","true","14",
,,,,,,,,,"A2NKLKXTTCVB4J","GEODMAER",,,"https://www.amazon.com/sp?seller=A2NKLKXTTCVB4J","https://m.media-amazon.com/images/I/41DpTGIRQ-L._AC_US.jpg","https://m.media-amazon.com/images/I/51x4UjYIESL._AC_US.jpg","https://m.media-amazon.com/images/I/41KeNzcJZLL._AC_US.jpg","https://m.media-amazon.com/images/I/51XeF-XpfuL._AC_US.jpg","https://m.media-amazon.com/images/I/41g711MLb-L._AC_US.jpg","https://m.media-amazon.com/images/I/41cZbyZw1vL._AC_US.jpg","https://m.media-amazon.com/images/I/41CoB4BAmGL._AC_US.jpg",,,,,"65% Gaming Keyboard, Wired Backlit Mini Keyboard, Ultra-Compact Anti-Ghosting No-Conflict 68 Keys Membrane Gaming Wired Keyboard for PC Laptop Windows Gamer","https://www.amazon.com/dp/B0D3CZYCH2","true",,"$","15.97",,,,"Saturday, January 25","4.3","true","true","15",
